模型,RMSE,MAE,R²,MAPE
XGBoost,6869.615409224617,2128.1696237080237,0.9766278375393214,621.4%
GradientBoosting,7591.567396162713,2325.555340614001,0.9714571751696935,753.5%
RandomForest,11309.875966372367,3023.2579688619294,0.9366495458599952,131.2%
LightGBM,13488.811723842702,2956.102812562593,0.9098882479004874,739.6%
LinearRegression,22604.520203430755,6575.302928084851,0.7469393408803447,7610.2%
Ridge,22610.609666979362,6602.465099345359,0.7468029777802214,7904.4%
DNN,51266.64754530951,5626.049446255553,-0.3016789623194418,5439.2%
