模型,AUC,F1,Precision,Recall
LogisticRegression,0.6345418494432604,0.7350949409109017,0.8992852501624431,0.6216034134291489
LightGBM,0.6260014808495021,0.9240203721026921,0.8601006191950464,0.9982034583426903
DNN,0.6222429834947368,0.9245302605626492,0.8596525096525096,1.0
XGBoost,0.6128298280280886,0.9238451935081149,0.8606319054080248,0.9970806198068718
RandomForest,0.6063738925676738,0.7947316103379721,0.8895688456189151,0.7181675275095442
GradientBoosting,0.6058501586646531,0.9227883713660519,0.8608087091757387,0.9943858073209072
