月份,销售额,订单数,客户数,销量,销售额环比增长,销量环比增长,年份,月
2025-01,313461163.0,635,461,1945934,,,2025,1
2025-02,343771307.0,692,505,2148249,0.09669505373461518,0.10396806880397791,2025,2
2025-04,505195997.0,1015,660,3185347,0.46956999235541197,0.4827643350468218,2025,4
2025-05,575271741.0,1161,671,3590883,0.1387100143629998,0.12731297406530584,2025,5
2025-06,574130121.0,1183,687,3553759,-0.001984488231623338,-0.010338404230937015,2025,6
2025-07,622160563.0,1285,733,3886134,0.08365776370754108,0.09352772655658415,2025,7
2025-08,607935472.0,1221,725,3833576,-0.02286401910691338,-0.01352449503799924,2025,8
2025-09,498623504.0,1024,640,3115193,-0.17980850441311313,-0.18739239811601494,2025,9
